100,1,1,7,7,100,NaN,NaN,NaN,NaN,-10.2110874767,-10.2110874767,-10.2110874767,-10.2110874767,-10.2110874767,-10.2110874767,-10.2110874767,0
100,1,2,6,6,100,NaN,NaN,NaN,NaN,-10.2268009854,-10.2268009854,-10.2268009854,-10.2268009854,-10.2268009854,-10.2268009854,0,0
100,1,3,5,5,100,NaN,NaN,NaN,NaN,-10.2423828028,-10.2423828028,-10.2423828028,-10.2423828028,-10.2423828028,0,0,0
100,1,4,8,5,62.5,NaN,NaN,NaN,NaN,-10.2571824473,-10.2571824473,-10.2571824473,-10.2571824473,-10.2571824473,-10.2571824473,NaN,NaN
100,1,5,6,0,0,NaN,NaN,NaN,NaN,-10.2738343035,NaN,NaN,NaN,NaN,NaN,0,0
100,1,6,8,8,100,NaN,NaN,NaN,NaN,-10.2848476829,-10.2848476829,-10.2848476829,-10.2848476829,-10.2848476829,-10.2848476829,-10.2848476829,-10.2848476829
100,1,7,6,6,100,NaN,NaN,NaN,NaN,-10.3021810385,-10.3021810385,-10.3021810385,-10.3021810385,-10.3021810385,-10.3021810385,0,0
100,1,8,8,8,100,NaN,NaN,NaN,NaN,-10.317515427,-10.317515427,-10.317515427,-10.317515427,-10.317515427,-10.317515427,-10.317515427,-10.317515427
100,1,9,7,3,42.8571428571429,NaN,NaN,NaN,NaN,-10.3397293631,-10.3397293631,-10.3397293631,-10.3397293631,NaN,NaN,NaN,0
100,1,10,8,1,12.5,NaN,NaN,NaN,NaN,-10.3532316828,-10.3532316828,NaN,NaN,NaN,NaN,NaN,NaN
100,1,11,8,2,25,NaN,NaN,NaN,NaN,-10.364930314,-10.364930314,-10.364930314,NaN,NaN,NaN,NaN,NaN
100,1,12,6,6,100,NaN,NaN,NaN,NaN,-10.3767616207,-10.3767616207,-10.3767616207,-10.3767616207,-10.3767616207,-10.3767616207,0,0
100,1,13,6,6,100,NaN,NaN,NaN,NaN,-10.3922447477,-10.3922447477,-10.3922447477,-10.3922447477,-10.3922447477,-10.3922447477,0,0
100,1,14,7,7,100,NaN,NaN,NaN,NaN,-10.4087452323,-10.4087452323,-10.4087452323,-10.4087452323,-10.4087452323,-10.4087452323,-10.4087452323,0
100,1,15,7,2,28.5714285714286,NaN,NaN,NaN,NaN,-10.4250950893,-10.4250950893,-10.4250950893,NaN,NaN,NaN,NaN,0
100,1,16,5,5,100,NaN,NaN,NaN,NaN,-10.4355781145,-10.4355781145,-10.4355781145,-10.4355781145,-10.4355781145,0,0,0
100,1,17,5,5,100,NaN,NaN,NaN,NaN,-10.4502932641,-10.4502932641,-10.4502932641,-10.4502932641,-10.4502932641,0,0,0
100,1,18,8,8,100,NaN,NaN,NaN,NaN,-10.4664261673,-10.4664261673,-10.4664261673,-10.4664261673,-10.4664261673,-10.4664261673,-10.4664261673,-10.4664261673
100,1,19,7,7,100,NaN,NaN,NaN,NaN,-10.4846084077,-10.4846084077,-10.4846084077,-10.4846084077,-10.4846084077,-10.4846084077,-10.4846084077,0
100,1,20,7,7,100,NaN,NaN,NaN,NaN,-10.5003086874,-10.5003086874,-10.5003086874,-10.5003086874,-10.5003086874,-10.5003086874,-10.5003086874,0
